# TimeStamp   : 2020-02-23 22:31:18
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>    
#     </Input>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
      328,  19130.00,     58.32,      1.25,      2.08,      0.11,      1.39,           1,           0,           3,           1,           0,          26,           0,           2,           0, 
       63,   9440.00,    149.84,      1.82,      2.18,      0.41,      1.39,           1,           0,           6,           1,           0,           5,           0,           4,           0, 
       63,   9440.00,    149.84,      1.82,      2.18,      0.41,      1.39,           1,           0,           6,           1,           0,          30,           0,           4,           0, 
       79,   9880.00,    125.06,      1.71,      2.68,      0.32,      1.39,           1,           0,           7,           1,           0,          15,           0,           3,           0, 
      130,  11020.00,     84.77,      1.42,      2.53,      0.19,      1.38,           1,           0,           4,           2,           0,          36,           0,           4,           0, 
      241,  15610.00,     64.77,      1.27,      1.55,      0.13,      1.37,           1,           0,           5,           1,           0,          36,           0,           1,           0, 
      261,  16100.00,     61.69,      1.26,      2.03,      0.12,      1.37,           1,           0,           5,           2,           0,          21,           0,           5,           0, 
       63,   7630.00,    121.11,      1.80,      2.61,      0.41,      1.37,           1,           0,           3,           1,           0,          15,           0,           4,           0, 
       42,   5590.00,    133.10,      1.99,      2.27,      0.42,      1.37,           1,           0,           8,           1,           0,           9,           0,           3,           0, 
      411,  21960.00,     53.43,      1.21,      2.09,      0.10,      1.36,           1,           0,           5,           2,           0,          26,           0,           1,           0, 
      265,  15740.00,     59.40,      1.25,      1.64,      0.12,      1.36,           1,           0,           6,           1,           0,          36,           0,           1,           0, 
       89,  10950.00,    123.03,      1.66,      1.74,      0.30,      1.35,           1,           0,           7,           1,           0,          10,           0,           3,           0, 
       32,   5890.00,    184.06,      2.00,      2.70,      0.44,      1.34,           1,           0,           4,           1,           0,          22,           0,           4,           0, 
       63,   8750.00,    138.89,      1.76,      2.02,      0.38,      1.33,           1,           0,           6,           1,           0,           3,           0,           4,           0, 
      512,  22600.00,     44.14,      1.18,      1.60,      0.08,      1.33,           1,           0,           2,           1,           0,          26,           0,           1,           0, 
      365,  19320.00,     52.93,      1.21,      2.11,      0.10,      1.33,           1,           0,           6,           1,           0,          25,           0,           1,           0, 
      235,  14930.00,     63.53,      1.33,      1.57,      0.16,      1.32,           1,           0,           4,           1,           0,          10,           0,           2,           0, 
      253,  16710.00,     66.05,      1.26,      2.15,      0.11,      1.31,           1,           0,           5,           2,           0,          35,           0,           5,           0, 
       47,   4320.00,     91.91,      1.81,      2.30,      0.33,      1.31,           1,           0,           4,           2,           0,          41,           0,           2,           0, 
      286,  17790.00,     62.20,      1.25,      1.82,      0.11,      1.31,           1,           0,           5,           2,           0,          25,           0,           5,           0, 
       39,   5070.00,    130.00,      1.74,      1.70,      0.25,      1.31,           1,           0,           8,           2,           0,          46,           0,           3,           0, 
       54,   4610.00,     85.37,      1.65,      1.55,      0.31,      1.30,           1,           0,           8,           1,           0,          25,           0,           1,           0, 
       33,   4730.00,    143.33,      1.99,      2.67,      0.36,      1.29,           1,           0,           7,           1,           0,          46,           0,           3,           0, 
       81,   7940.00,     98.02,      1.54,      2.94,      0.24,      1.29,           1,           0,           4,           1,           0,          36,           0,           2,           0, 
      120,  11730.00,     97.75,      1.48,      2.56,      0.20,      1.29,           1,           0,           4,           1,           0,           8,           0,           3,           0, 
