# TimeStamp   : 2020-02-23 21:10:45
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon,
      114,  18050.00,    158.33,      1.58,      4.58,      0.24,      1.85,           2,           0,           2,           2,           0,           0,          38,           1,           0,
       35,   4470.00,    127.71,      2.21,      7.71,      0.55,      1.85,           2,           0,           3,           1,           0,           0,          26,           4,           0,
      597,  41500.00,     69.51,      1.25,      2.84,      0.11,      1.84,           2,           0,           2,           2,           0,           0,          27,           1,           0,
       34,   5390.00,    158.53,      2.41,      4.42,      0.66,      1.84,           2,           0,           5,           1,           0,           0,          35,           4,           0,
      114,  17870.00,    156.75,      1.58,      4.35,      0.24,      1.83,           2,           0,           2,           2,           0,           0,          38,           2,           0,
       68,   8320.00,    122.35,      1.82,      3.98,      0.30,      1.82,           2,           0,           2,           1,           0,           0,          46,           3,           0,
      587,  40380.00,     68.79,      1.24,      2.47,      0.11,      1.81,           2,           0,           1,           2,           0,           0,          24,           1,           0,
       81,  12320.00,    152.10,      1.69,      2.68,      0.26,      1.79,           2,           0,           3,           1,           0,           0,          38,           1,           0,
       51,   5350.00,    104.90,      2.08,      4.91,      0.51,      1.79,           2,           0,           1,           1,           0,           0,           9,           4,           0,
      315,  21960.00,     69.71,      1.32,      4.11,      0.14,      1.79,           2,           0,           4,           2,           0,           0,          13,           2,           0,
       76,  14800.00,    194.74,      1.89,      4.38,      0.39,      1.76,           2,           0,           5,           2,           0,           0,          18,           1,           0,
      114,   7800.00,     68.42,      1.58,      2.94,      0.26,      1.76,           2,           0,           4,           1,           0,           0,          10,           3,           0,
      435,  36610.00,     84.16,      1.28,      2.45,      0.13,      1.76,           2,           0,           2,           2,           0,           0,          20,           3,           0,
      134,  11050.00,     82.46,      1.55,      3.39,      0.26,      1.76,           2,           0,           4,           1,           0,           0,           0,           3,           0,
      134,  11040.00,     82.39,      1.55,      3.39,      0.26,      1.75,           2,           0,           4,           1,           0,           0,           4,           3,           0,
