# TimeStamp   : 2020-02-22 08:16:19
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
     1591, 198510.00,    124.77,      1.29,     11.10,      0.14,      3.48,           3,           0,           2,           2,           1,          26,           5,           2,           0, 
     1749, 204790.00,    117.09,      1.28,     11.82,      0.13,      3.48,           3,           0,           2,           2,           2,          25,          24,           2,           0, 
     1252, 136740.00,    109.22,      1.35,      8.51,      0.17,      3.48,           3,           0,           3,           2,          10,           4,          24,           3,           0, 
     1316, 177250.00,    134.69,      1.33,      8.07,      0.15,      3.47,           3,           0,           1,           2,           3,          26,          31,           2,           0, 
      877, 107960.00,    123.10,      1.45,      9.74,      0.21,      3.47,           3,           0,           3,           2,          10,          21,          24,           5,           0, 
     1155, 129010.00,    111.70,      1.37,      8.44,      0.16,      3.46,           3,           0,           2,           1,          10,          14,          31,           1,           0, 
     1060, 159730.00,    150.69,      1.37,      8.02,      0.17,      3.46,           3,           0,           2,           2,           8,          39,          24,           1,           0, 
     1622, 156990.00,     96.79,      1.30,      8.05,      0.14,      3.45,           3,           0,           3,           2,          10,          26,           8,           1,           0, 
     1367, 163040.00,    119.27,      1.33,      8.23,      0.15,      3.45,           3,           0,           1,           2,           9,          15,          24,           3,           0, 
     1763, 203850.00,    115.63,      1.27,     10.06,      0.13,      3.45,           3,           0,           2,           2,           2,          25,          24,           1,           0, 
     1690, 196350.00,    116.18,      1.28,      9.19,      0.13,      3.44,           3,           0,           2,           2,           8,          26,          24,           1,           0, 
     1722, 198410.00,    115.22,      1.27,      8.57,      0.13,      3.43,           3,           0,           2,           2,           2,          26,          24,           2,           0, 
     1758, 202330.00,    115.09,      1.27,      8.37,      0.13,      3.43,           3,           0,           2,           2,           9,          25,          24,           2,           0, 
