# TimeStamp   : 2020-08-17 11:06:11
# Strategy    : GC1
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,Side_switch,   MyStop,fractN_long,fractN_short,  epsilon,
      328,    12.37,    52.44,     1.46,     6.85,     0.22,     2.37,          1,          0,          0,          0,          0,
      332,    11.91,    53.61,     1.43,     5.46,     0.20,     2.24,          1,          0,          0,          0,          0,
      325,    14.42,    53.23,     1.55,     8.61,     0.26,     2.76,          1,          0,          0,          0,          0,
      331,    11.71,    52.87,     1.41,     6.51,     0.19,     2.15,          1,          0,          0,          0,          0,
      332,    11.04,    51.51,     1.39,     6.99,     0.19,     2.08,          1,          0,          0,          0,          0,
      327,    13.38,    53.52,     1.50,     8.73,     0.23,     2.51,          1,          0,          0,          0,          0,
      331,    10.52,    53.17,     1.37,     3.05,     0.17,     1.95,          1,          0,          0,          0,          0,
      324,    14.94,    54.94,     1.57,     8.28,     0.25,     2.80,          1,          0,          0,          0,          0,
      329,    14.19,    55.02,     1.51,     9.15,     0.23,     2.56,          1,          0,          0,          0,          0,
      331,    10.88,    51.06,     1.38,     4.44,     0.19,     2.03,          1,          0,          0,          0,          0,
      328,    14.92,    53.66,     1.58,    11.21,     0.27,     2.84,          1,          0,          0,          0,          0,
      333,    11.37,    52.85,     1.40,     3.90,     0.19,     2.13,          1,          0,          0,          0,          0,
      333,     9.67,    53.45,     1.33,     4.67,     0.15,     1.82,          1,          0,          0,          0,          0,
      329,    13.88,    51.37,     1.54,     5.20,     0.26,     2.69,          1,          0,          0,          0,          0,
      329,    11.19,    52.28,     1.41,     4.09,     0.19,     2.08,          1,          0,          0,          0,          0,
      329,    10.69,    50.76,     1.36,     4.52,     0.18,     1.92,          1,          0,          0,          0,          0,
      325,    14.62,    53.85,     1.56,     6.94,     0.26,     2.76,          1,          0,          0,          0,          0,
      324,    13.70,    52.47,     1.53,     6.71,     0.25,     2.65,          1,          0,          0,          0,          0,
      328,    13.74,    51.52,     1.50,     6.32,     0.24,     2.54,          1,          0,          0,          0,          0,
      332,    11.62,    51.81,     1.41,     5.81,     0.20,     2.14,          1,          0,          0,          0,          0,
      332,    10.86,    52.11,     1.38,     5.94,     0.18,     2.06,          1,          0,          0,          0,          0,
      340,    10.86,    53.53,     1.38,     3.97,     0.18,     2.06,          1,          0,          0,          0,          0,
      329,     8.38,    51.98,     1.28,     3.13,     0.13,     1.52,          1,          0,          0,          0,          0,
      332,    11.81,    50.90,     1.44,     5.01,     0.22,     2.27,          1,          0,          0,          0,          0,
      333,     9.65,    52.55,     1.32,     2.41,     0.15,     1.73,          1,          0,          0,          0,          0,
      333,     9.49,    51.35,     1.33,     3.94,     0.16,     1.74,          1,          0,          0,          0,          0,
      323,    17.00,    54.49,     1.68,     9.19,     0.31,     3.24,          1,          0,          0,          0,          0,
      330,    12.90,    53.03,     1.47,     5.71,     0.22,     2.44,          1,          0,          0,          0,          0,
      326,    12.84,    55.21,     1.46,     4.32,     0.21,     2.30,          1,          0,          0,          0,          0,
      337,     8.33,    50.45,     1.26,     2.23,     0.13,     1.47,          1,          0,          0,          0,          0,
      331,     9.32,    52.87,     1.31,     2.52,     0.14,     1.65,          1,          0,          0,          0,          0,
      325,    12.40,    52.00,     1.45,     7.16,     0.22,     2.34,          1,          0,          0,          0,          0,
      335,    11.00,    51.34,     1.39,     6.61,     0.19,     2.11,          1,          0,          0,          0,          0,
      325,    13.24,    53.85,     1.46,     6.73,     0.21,     2.42,          1,          0,          0,          0,          0,
      331,    11.74,    54.68,     1.42,     5.19,     0.19,     2.20,          1,          0,          0,          0,          0,
      332,    11.23,    53.31,     1.40,     6.33,     0.18,     2.07,          1,          0,          0,          0,          0,
      335,    10.80,    51.94,     1.37,     4.95,     0.18,     1.99,          1,          0,          0,          0,          0,
      331,     9.79,    53.47,     1.33,     3.81,     0.15,     1.76,          1,          0,          0,          0,          0,
      331,    13.02,    51.06,     1.49,     8.27,     0.24,     2.55,          1,          0,          0,          0,          0,
      330,    12.75,    54.24,     1.45,     6.41,     0.20,     2.33,          1,          0,          0,          0,          0,
      338,    10.13,    49.70,     1.35,     5.25,     0.17,     1.90,          1,          0,          0,          0,          0,
      332,    12.98,    53.01,     1.48,     6.49,     0.23,     2.46,          1,          0,          0,          0,          0,
      325,    12.31,    52.62,     1.44,     4.26,     0.21,     2.26,          1,          0,          0,          0,          0,
      323,    13.89,    52.63,     1.49,     6.15,     0.23,     2.49,          1,          0,          0,          0,          0,
      334,    11.43,    52.10,     1.40,     7.61,     0.19,     2.16,          1,          0,          0,          0,          0,
      334,    12.46,    53.59,     1.45,     6.49,     0.21,     2.34,          1,          0,          0,          0,          0,
      326,    11.62,    52.76,     1.41,     6.20,     0.19,     2.12,          1,          0,          0,          0,          0,
      328,     9.54,    54.57,     1.31,     5.18,     0.14,     1.70,          1,          0,          0,          0,          0,
      325,    15.44,    54.15,     1.62,     9.53,     0.29,     3.00,          1,          0,          0,          0,          0,
      321,    14.83,    53.58,     1.55,     7.61,     0.25,     2.70,          1,          0,          0,          0,          0,
      330,     9.78,    51.82,     1.33,     4.72,     0.16,     1.75,          1,          0,          0,          0,          0,
      333,    12.79,    50.45,     1.48,     8.17,     0.24,     2.48,          1,          0,          0,          0,          0,
      328,    14.28,    52.74,     1.56,     7.95,     0.26,     2.81,          1,          0,          0,          0,          0,
      323,    13.13,    52.32,     1.47,     6.55,     0.22,     2.34,          1,          0,          0,          0,          0,
      329,    11.01,    52.58,     1.39,     4.47,     0.18,     2.00,          1,          0,          0,          0,          0,
      332,    11.96,    52.11,     1.43,     5.88,     0.21,     2.25,          1,          0,          0,          0,          0,
      328,    13.00,    52.74,     1.48,     6.07,     0.23,     2.46,          1,          0,          0,          0,          0,
      323,    15.24,    54.18,     1.58,    10.74,     0.26,     2.85,          1,          0,          0,          0,          0,
      327,    15.54,    53.82,     1.62,     8.92,     0.28,     3.05,          1,          0,          0,          0,          0,
      339,     5.52,    50.15,     1.17,     1.74,     0.09,     0.99,          1,          0,          0,          0,          0,
      331,    12.89,    53.78,     1.47,     8.20,     0.22,     2.41,          1,          0,          0,          0,          0,
      336,    10.90,    50.60,     1.39,     3.42,     0.19,     2.07,          1,          0,          0,          0,          0,
      329,    12.53,    52.28,     1.46,     4.10,     0.22,     2.33,          1,          0,          0,          0,          0,
      329,    11.12,    52.58,     1.37,     3.05,     0.18,     1.97,          1,          0,          0,          0,          0,
      336,     7.25,    50.30,     1.23,     1.50,     0.11,     1.30,          1,          0,          0,          0,          0,
      332,     9.12,    51.20,     1.30,     3.25,     0.15,     1.64,          1,          0,          0,          0,          0,
      334,    11.35,    52.69,     1.41,     5.17,     0.20,     2.19,          1,          0,          0,          0,          0,
      335,     8.92,    51.04,     1.30,     3.05,     0.14,     1.63,          1,          0,          0,          0,          0,
      336,     8.99,    52.98,     1.31,     3.36,     0.14,     1.67,          1,          0,          0,          0,          0,
      335,     9.03,    51.64,     1.30,     2.76,     0.15,     1.63,          1,          0,          0,          0,          0,
      334,     7.96,    50.30,     1.27,     2.78,     0.13,     1.48,          1,          0,          0,          0,          0,
      328,    10.89,    53.35,     1.39,     6.04,     0.18,     2.04,          1,          0,          0,          0,          0,
      334,    12.90,    53.29,     1.49,     6.59,     0.23,     2.53,          1,          0,          0,          0,          0,
      337,     9.95,    52.82,     1.34,     3.71,     0.16,     1.87,          1,          0,          0,          0,          0,
      327,    12.90,    52.60,     1.46,     6.08,     0.22,     2.36,          1,          0,          0,          0,          0,
      326,    12.92,    52.45,     1.47,     6.93,     0.22,     2.41,          1,          0,          0,          0,          0,
      335,     8.46,    52.24,     1.27,     2.64,     0.13,     1.49,          1,          0,          0,          0,          0,
      332,    10.81,    51.51,     1.36,     2.93,     0.17,     1.89,          1,          0,          0,          0,          0,
      329,     9.90,    53.50,     1.33,     3.88,     0.15,     1.80,          1,          0,          0,          0,          0,
      332,    12.57,    52.11,     1.47,     6.24,     0.22,     2.42,          1,          0,          0,          0,          0,
      331,    13.15,    54.38,     1.49,     7.49,     0.23,     2.54,          1,          0,          0,          0,          0,
