# TimeStamp   : 2020-08-04 07:19:05
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-01 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      310,    40.58,    60.00,     1.59,     5.75,     0.23,     2.27,          2,          1,          0,          1,          4,          0,          0,          1,          0,          0,          0,          0,          2,          3,          0,          0,
      326,    38.79,    58.59,     1.54,     5.90,     0.22,     2.27,          2,          1,          0,          2,          1,          5,          0,          6,          0,          0,          0,          0,          2,          2,          0,          0,
      315,    41.70,    58.41,     1.54,     4.55,     0.23,     2.27,          2,          1,          0,          2,          2,          0,          0,         12,          0,          0,          0,          0,          2,          3,          0,          0,
      323,    39.25,    59.13,     1.55,     5.30,     0.22,     2.27,          2,          1,          0,          4,          4,          0,          0,          6,          0,          0,          0,          0,          2,          1,          0,          0,
      315,    40.34,    57.78,     1.58,     5.25,     0.24,     2.27,          2,          1,          0,          1,          4,          0,          0,         55,          0,          0,          0,          0,          2,          0,          0,          0,
      294,    40.79,    60.54,     1.62,     6.33,     0.24,     2.26,          2,          1,          0,          4,          1,          0,          0,          7,          0,          0,          0,          0,          2,          2,          0,          0,
      324,    40.11,    58.95,     1.55,     4.03,     0.22,     2.26,          2,          1,          0,          2,          4,          0,          0,          1,          0,          0,          0,          0,          2,          1,          0,          0,
      319,    38.53,    58.62,     1.56,     5.99,     0.23,     2.26,          2,          1,          0,          1,          4,          0,          0,         17,          0,          0,          0,          0,          2,          3,          0,          0,
      305,    40.97,    59.67,     1.59,     5.83,     0.24,     2.26,          2,          1,          0,          4,          4,          0,          0,         55,          0,          0,          0,          0,          2,          0,          0,          0,
      328,    40.66,    61.28,     1.52,     4.90,     0.20,     2.26,          2,          1,          0,          1,          4,          0,          0,         12,          0,          0,          0,          0,          2,          2,          0,          0,
      327,    40.77,    61.16,     1.52,     4.90,     0.20,     2.26,          2,          1,          0,          1,          2,          0,          0,         12,          0,          0,          0,          0,          2,          1,          0,          0,
      327,    40.74,    60.86,     1.52,     4.92,     0.20,     2.26,          2,          1,          0,          1,          1,          0,          0,         12,          0,          0,          0,          0,          2,          1,          0,          0,
      323,    39.09,    59.44,     1.54,     5.20,     0.22,     2.25,          2,          1,          0,          4,          4,          0,          0,          6,          0,          0,          0,          0,          2,          0,          0,          0,
      309,    40.34,    59.87,     1.57,     4.79,     0.23,     2.25,          2,          1,          0,          4,          3,          0,          3,         39,          0,          0,          0,          0,          2,          0,          0,          0,
      325,    38.53,    57.54,     1.52,     5.29,     0.22,     2.25,          2,          1,          0,          1,          4,          0,          0,         14,          0,          0,          0,          0,          2,          0,          0,          0,
      332,    38.19,    58.43,     1.52,     5.19,     0.22,     2.24,          2,          1,          0,          2,          1,          0,          0,          6,          0,          0,          0,          0,          2,          1,          0,          0,
      301,    40.93,    60.13,     1.57,     5.30,     0.23,     2.24,          2,          1,          0,          1,          3,          0,          0,         39,          0,          0,          0,          0,          2,          2,          0,          0,
      316,    38.28,    58.23,     1.56,     5.65,     0.23,     2.24,          2,          1,          0,          2,          1,          5,          0,         14,          0,          0,          0,          0,          2,          2,          0,          0,
      295,    41.32,    58.98,     1.58,     4.97,     0.24,     2.23,          2,          1,          0,          2,          3,          0,          0,          6,          0,          0,          0,          0,          2,          2,          0,          0,
      331,    39.65,    59.52,     1.51,     4.57,     0.21,     2.23,          2,          1,          0,          1,          3,          0,          0,         39,          0,          0,          0,          0,          2,          1,          0,          0,
      316,    39.57,    58.86,     1.53,     4.80,     0.22,     2.23,          2,          1,          0,          2,          1,          0,          3,          0,          0,          0,          0,          0,          2,          2,          0,          0,
      304,    40.41,    59.54,     1.58,     5.80,     0.24,     2.22,          2,          1,          0,          4,          1,          0,          0,         55,          0,          0,          0,          0,          2,          0,          0,          0,
      323,    37.86,    58.20,     1.53,     5.36,     0.22,     2.22,          2,          1,          0,          2,          2,          0,          0,         14,          0,          0,          0,          0,          2,          0,          0,          0,
      292,    40.30,    61.30,     1.61,     6.21,     0.24,     2.22,          2,          1,          0,          4,          2,          0,          0,          7,          0,          0,          0,          0,          2,          2,          0,          0,
